group,id,course,semester,grade
1,68,Art and Symbolism,1,9.5
1,68,Art and Symbolism,1,6.5
1,68,Art and Symbolism,1,9
1,68,Art and Symbolism,1,10
1,68,Art and Symbolism,1,9.5
1,68,Art and Symbolism,1,10
1,68,Art and Symbolism,1,5.5
1,68,Art and Symbolism,1,7
1,68,Astronomy and Celestial Navigation,2,9
1,68,Astronomy and Celestial Navigation,2,5.5
1,68,Astronomy and Celestial Navigation,2,9
1,68,Astronomy and Celestial Navigation,2,9
1,68,Environmental Stewardship,1,7.75
1,68,Environmental Stewardship,1,9.25
1,68,Environmental Stewardship,1,9.5
1,68,Environmental Stewardship,1,6.5
1,68,Herbalism and Medicine,2,11
1,68,Herbalism and Medicine,2,11.5
1,68,Herbalism and Medicine,2,15.5
1,68,Hunting and Gathering Skills,2,9
1,68,Hunting and Gathering Skills,2,19.5
1,68,Hunting and Gathering Skills,2,9
1,68,Hunting and Gathering Skills,2,11.5
1,68,Hunting and Gathering Skills,2,11.5
1,68,Hunting and Gathering Skills,2,11.5
1,68,Hunting and Gathering Skills,2,16.5
1,68,Hunting and Gathering Skills,2,8
1,68,Hunting and Gathering Skills,2,9.5
1,68,Language and Linguistics,2,10.75
1,68,Language and Linguistics,2,10
1,68,Language and Linguistics,2,11.25
1,68,Shamanism and Spiritual Practices,2,14.75
1,68,Shamanism and Spiritual Practices,2,13.75
1,68,Shamanism and Spiritual Practices,2,13
1,68,Shamanism and Spiritual Practices,2,14.5
1,68,Shamanism and Spiritual Practices,2,13.5
1,68,Shamanism and Spiritual Practices,2,13.25
1,68,Shamanism and Spiritual Practices,2,16.25
1,68,Social Organization and Governance,2,11.5
1,68,Social Organization and Governance,2,14
1,68,Social Organization and Governance,2,11.5
1,68,Social Organization and Governance,2,9
1,68,Tribal Lore and Traditions,2,8.5
1,68,Tribal Lore and Traditions,2,8.5
1,68,Tribal Lore and Traditions,2,9
1,68,Tribal Lore and Traditions,2,10
1,68,Tribal Lore and Traditions,2,11.5
1,68,Tribal Lore and Traditions,2,8.5
1,68,Tribal Lore and Traditions,2,6.5
1,68,Warfare and Diplomacy,2,9.5
1,68,Warfare and Diplomacy,2,10.5
1,68,Warfare and Diplomacy,2,8
1,68,Warfare and Diplomacy,2,13.5
1,68,Warfare and Diplomacy,2,6
1,68,Warfare and Diplomacy,2,9
1,68,Warfare and Diplomacy,2,7.5
1,68,Warfare and Diplomacy,2,8
1,96,Art and Symbolism,1,6
1,96,Art and Symbolism,1,5.5
1,96,Art and Symbolism,1,4
1,96,Art and Symbolism,1,6.5
1,96,Art and Symbolism,1,7.5
1,96,Art and Symbolism,1,7
1,96,Art and Symbolism,1,10.5
1,96,Art and Symbolism,1,6.5
1,96,Astronomy and Celestial Navigation,2,7.5
1,96,Astronomy and Celestial Navigation,2,8.5
1,96,Astronomy and Celestial Navigation,2,7
1,96,Environmental Stewardship,1,8.75
1,96,Environmental Stewardship,1,12.5
1,96,Environmental Stewardship,1,4.5
1,96,Environmental Stewardship,1,9.5
1,96,Environmental Stewardship,1,9.25
1,96,Herbalism and Medicine,2,12.5
1,96,Herbalism and Medicine,2,11
1,96,Herbalism and Medicine,2,10
1,96,Herbalism and Medicine,2,11.5
1,96,Hunting and Gathering Skills,2,9
1,96,Hunting and Gathering Skills,2,13.5
1,96,Hunting and Gathering Skills,2,12
1,96,Hunting and Gathering Skills,2,10
1,96,Hunting and Gathering Skills,2,11
1,96,Hunting and Gathering Skills,2,10.5
1,96,Hunting and Gathering Skills,2,12.5
1,96,Hunting and Gathering Skills,2,7
1,96,Hunting and Gathering Skills,2,6.5
1,96,Language and Linguistics,2,9.25
1,96,Language and Linguistics,2,8.75
1,96,Language and Linguistics,2,10
1,96,Shamanism and Spiritual Practices,2,12.75
1,96,Shamanism and Spiritual Practices,2,12.25
1,96,Shamanism and Spiritual Practices,2,15.5
1,96,Shamanism and Spiritual Practices,2,12.75
1,96,Shamanism and Spiritual Practices,2,14.25
1,96,Shamanism and Spiritual Practices,2,13.5
1,96,Social Organization and Governance,2,8
1,96,Social Organization and Governance,2,9.5
1,96,Tribal Lore and Traditions,2,11
1,96,Tribal Lore and Traditions,2,8.5
1,96,Tribal Lore and Traditions,2,9.5
1,96,Tribal Lore and Traditions,2,8
1,96,Tribal Lore and Traditions,2,9.5
1,96,Tribal Lore and Traditions,2,7.5
1,96,Tribal Lore and Traditions,2,9
1,96,Warfare and Diplomacy,2,5.5
1,96,Warfare and Diplomacy,2,4
1,96,Warfare and Diplomacy,2,7
1,96,Warfare and Diplomacy,2,11.5
1,96,Warfare and Diplomacy,2,12.5
1,96,Warfare and Diplomacy,2,6
1,96,Warfare and Diplomacy,2,8.5
1,96,Warfare and Diplomacy,2,5.5
1,136,Art and Symbolism,1,11.5
1,136,Art and Symbolism,1,6.5
1,136,Art and Symbolism,1,5.5
1,136,Art and Symbolism,1,9
1,136,Art and Symbolism,1,10
1,136,Art and Symbolism,1,5.5
1,136,Art and Symbolism,1,11
1,136,Art and Symbolism,1,7.5
1,136,Astronomy and Celestial Navigation,2,11.5
1,136,Astronomy and Celestial Navigation,2,10.5
1,136,Astronomy and Celestial Navigation,2,9.5
1,136,Astronomy and Celestial Navigation,2,7.5
1,136,Environmental Stewardship,1,9
1,136,Environmental Stewardship,1,11
1,136,Environmental Stewardship,1,3.75
1,136,Environmental Stewardship,1,13.25
1,136,Environmental Stewardship,1,8.25
1,136,Herbalism and Medicine,2,10
1,136,Herbalism and Medicine,2,12.5
1,136,Herbalism and Medicine,2,14.5
1,136,Herbalism and Medicine,2,12.5
1,136,Hunting and Gathering Skills,2,9
1,136,Hunting and Gathering Skills,2,12
1,136,Hunting and Gathering Skills,2,8
1,136,Hunting and Gathering Skills,2,8
1,136,Hunting and Gathering Skills,2,8.5
1,136,Hunting and Gathering Skills,2,8
1,136,Hunting and Gathering Skills,2,14
1,136,Hunting and Gathering Skills,2,9.5
1,136,Hunting and Gathering Skills,2,9.5
1,136,Hunting and Gathering Skills,2,11.5
1,136,Language and Linguistics,2,8.25
1,136,Language and Linguistics,2,10
1,136,Language and Linguistics,2,11.5
1,136,Shamanism and Spiritual Practices,2,14.25
1,136,Shamanism and Spiritual Practices,2,13
1,136,Shamanism and Spiritual Practices,2,13.5
1,136,Shamanism and Spiritual Practices,2,13.75
1,136,Shamanism and Spiritual Practices,2,13
1,136,Social Organization and Governance,2,8.5
1,136,Social Organization and Governance,2,8.5
1,136,Social Organization and Governance,2,10.5
1,136,Social Organization and Governance,2,10
1,136,Tribal Lore and Traditions,2,10.5
1,136,Tribal Lore and Traditions,2,9.5
1,136,Tribal Lore and Traditions,2,8
1,136,Tribal Lore and Traditions,2,8
1,136,Tribal Lore and Traditions,2,7.5
1,136,Tribal Lore and Traditions,2,9
1,136,Tribal Lore and Traditions,2,8.5
1,136,Warfare and Diplomacy,2,5
1,136,Warfare and Diplomacy,2,10.5
1,136,Warfare and Diplomacy,2,4.5
1,136,Warfare and Diplomacy,2,8.5
1,136,Warfare and Diplomacy,2,6.5
1,136,Warfare and Diplomacy,2,8
1,136,Warfare and Diplomacy,2,8
1,136,Warfare and Diplomacy,2,10
1,150,Art and Symbolism,1,10.5
1,150,Art and Symbolism,1,8
1,150,Art and Symbolism,1,2.5
1,150,Art and Symbolism,1,7
1,150,Art and Symbolism,1,6.5
1,150,Art and Symbolism,1,4.5
1,150,Art and Symbolism,1,6
1,150,Art and Symbolism,1,7
1,150,Astronomy and Celestial Navigation,2,6
1,150,Astronomy and Celestial Navigation,2,8.5
1,150,Astronomy and Celestial Navigation,2,8
1,150,Astronomy and Celestial Navigation,2,9
1,150,Environmental Stewardship,1,10.5
1,150,Environmental Stewardship,1,8.5
1,150,Environmental Stewardship,1,6.75
1,150,Environmental Stewardship,1,12.5
1,150,Environmental Stewardship,1,4.75
1,150,Herbalism and Medicine,2,11.5
1,150,Herbalism and Medicine,2,13
1,150,Herbalism and Medicine,2,12.5
1,150,Herbalism and Medicine,2,12
1,150,Hunting and Gathering Skills,2,16.5
1,150,Hunting and Gathering Skills,2,8.5
1,150,Hunting and Gathering Skills,2,12.5
1,150,Hunting and Gathering Skills,2,7
1,150,Hunting and Gathering Skills,2,8
1,150,Hunting and Gathering Skills,2,11.5
1,150,Hunting and Gathering Skills,2,10.5
1,150,Hunting and Gathering Skills,2,11.5
1,150,Hunting and Gathering Skills,2,11.5
1,150,Hunting and Gathering Skills,2,13.5
1,150,Language and Linguistics,2,9.5
1,150,Language and Linguistics,2,8.5
1,150,Language and Linguistics,2,10
1,150,Shamanism and Spiritual Practices,2,14
1,150,Shamanism and Spiritual Practices,2,13
1,150,Shamanism and Spiritual Practices,2,15
1,150,Shamanism and Spiritual Practices,2,14.5
1,150,Shamanism and Spiritual Practices,2,15.25
1,150,Shamanism and Spiritual Practices,2,11.25
1,150,Shamanism and Spiritual Practices,2,12.5
1,150,Social Organization and Governance,2,11
1,150,Social Organization and Governance,2,11
1,150,Social Organization and Governance,2,11.5
1,150,Social Organization and Governance,2,8
1,150,Tribal Lore and Traditions,2,8
1,150,Tribal Lore and Traditions,2,10.5
1,150,Tribal Lore and Traditions,2,6
1,150,Tribal Lore and Traditions,2,9.5
1,150,Tribal Lore and Traditions,2,10
1,150,Tribal Lore and Traditions,2,9.5
1,150,Tribal Lore and Traditions,2,7.5
1,150,Warfare and Diplomacy,2,7
1,150,Warfare and Diplomacy,2,10
1,150,Warfare and Diplomacy,2,9.5
1,150,Warfare and Diplomacy,2,7
1,150,Warfare and Diplomacy,2,4.5
1,150,Warfare and Diplomacy,2,5.5
1,150,Warfare and Diplomacy,2,10
1,150,Warfare and Diplomacy,2,7
1,217,Art and Symbolism,1,6.5
1,217,Art and Symbolism,1,10.5
1,217,Art and Symbolism,1,8
1,217,Art and Symbolism,1,12
1,217,Art and Symbolism,1,10.5
1,217,Art and Symbolism,1,10
1,217,Art and Symbolism,1,4
1,217,Art and Symbolism,1,10.5
1,217,Astronomy and Celestial Navigation,2,10
1,217,Astronomy and Celestial Navigation,2,7.5
1,217,Astronomy and Celestial Navigation,2,8.5
1,217,Astronomy and Celestial Navigation,2,8
1,217,Environmental Stewardship,1,3.25
1,217,Environmental Stewardship,1,12
1,217,Environmental Stewardship,1,7.5
1,217,Environmental Stewardship,1,4.75
1,217,Environmental Stewardship,1,9.25
1,217,Herbalism and Medicine,2,15
1,217,Herbalism and Medicine,2,13
1,217,Herbalism and Medicine,2,12.5
1,217,Hunting and Gathering Skills,2,10
1,217,Hunting and Gathering Skills,2,9.5
1,217,Hunting and Gathering Skills,2,9.5
1,217,Hunting and Gathering Skills,2,14
1,217,Hunting and Gathering Skills,2,12
1,217,Hunting and Gathering Skills,2,8.5
1,217,Hunting and Gathering Skills,2,10
1,217,Hunting and Gathering Skills,2,6.5
1,217,Language and Linguistics,2,10
1,217,Language and Linguistics,2,9.75
1,217,Language and Linguistics,2,6.5
1,217,Shamanism and Spiritual Practices,2,13.25
1,217,Shamanism and Spiritual Practices,2,13
1,217,Shamanism and Spiritual Practices,2,14
1,217,Shamanism and Spiritual Practices,2,14
1,217,Shamanism and Spiritual Practices,2,15
1,217,Shamanism and Spiritual Practices,2,12.5
1,217,Shamanism and Spiritual Practices,2,12.25
1,217,Social Organization and Governance,2,9.5
1,217,Social Organization and Governance,2,9.5
1,217,Social Organization and Governance,2,6
1,217,Social Organization and Governance,2,10.5
1,217,Tribal Lore and Traditions,2,9.5
1,217,Tribal Lore and Traditions,2,9.5
1,217,Tribal Lore and Traditions,2,8
1,217,Tribal Lore and Traditions,2,8.5
1,217,Tribal Lore and Traditions,2,10
1,217,Tribal Lore and Traditions,2,10
1,217,Tribal Lore and Traditions,2,10
1,217,Warfare and Diplomacy,2,6
1,217,Warfare and Diplomacy,2,9
1,217,Warfare and Diplomacy,2,6.5
1,217,Warfare and Diplomacy,2,7.5
1,217,Warfare and Diplomacy,2,5
1,217,Warfare and Diplomacy,2,8
1,217,Warfare and Diplomacy,2,6.5
1,217,Warfare and Diplomacy,2,9
1,256,Art and Symbolism,1,2.5
1,256,Art and Symbolism,1,9.5
1,256,Art and Symbolism,1,7
1,256,Art and Symbolism,1,8
1,256,Art and Symbolism,1,12
1,256,Art and Symbolism,1,7
1,256,Art and Symbolism,1,4
1,256,Art and Symbolism,1,3.5
1,256,Astronomy and Celestial Navigation,2,10
1,256,Astronomy and Celestial Navigation,2,9.5
1,256,Astronomy and Celestial Navigation,2,8.5
1,256,Environmental Stewardship,1,9.5
1,256,Environmental Stewardship,1,13
1,256,Environmental Stewardship,1,3.25
1,256,Environmental Stewardship,1,7.5
1,256,Herbalism and Medicine,2,11.5
1,256,Herbalism and Medicine,2,9
1,256,Herbalism and Medicine,2,11.5
1,256,Herbalism and Medicine,2,12
1,256,Hunting and Gathering Skills,2,12.5
1,256,Hunting and Gathering Skills,2,8
1,256,Hunting and Gathering Skills,2,6
1,256,Hunting and Gathering Skills,2,9.5
1,256,Hunting and Gathering Skills,2,7
1,256,Hunting and Gathering Skills,2,15.5
1,256,Hunting and Gathering Skills,2,12
1,256,Hunting and Gathering Skills,2,11
1,256,Hunting and Gathering Skills,2,10
1,256,Hunting and Gathering Skills,2,7.5
1,256,Language and Linguistics,2,7.25
1,256,Language and Linguistics,2,9
1,256,Language and Linguistics,2,11.25
1,256,Shamanism and Spiritual Practices,2,12.5
1,256,Shamanism and Spiritual Practices,2,15.5
1,256,Shamanism and Spiritual Practices,2,12.5
1,256,Shamanism and Spiritual Practices,2,15.25
1,256,Shamanism and Spiritual Practices,2,13.25
1,256,Shamanism and Spiritual Practices,2,14.5
1,256,Shamanism and Spiritual Practices,2,14
1,256,Social Organization and Governance,2,14.5
1,256,Social Organization and Governance,2,4
1,256,Social Organization and Governance,2,10
1,256,Social Organization and Governance,2,8.5
1,256,Tribal Lore and Traditions,2,8.5
1,256,Tribal Lore and Traditions,2,10.5
1,256,Tribal Lore and Traditions,2,9
1,256,Tribal Lore and Traditions,2,8.5
1,256,Tribal Lore and Traditions,2,9
1,256,Tribal Lore and Traditions,2,8.5
1,256,Warfare and Diplomacy,2,7
1,256,Warfare and Diplomacy,2,6.5
1,256,Warfare and Diplomacy,2,5.5
1,256,Warfare and Diplomacy,2,8.5
1,256,Warfare and Diplomacy,2,9.5
1,256,Warfare and Diplomacy,2,5.5
1,256,Warfare and Diplomacy,2,13.5
1,256,Warfare and Diplomacy,2,5
1,274,Art and Symbolism,1,9.5
1,274,Art and Symbolism,1,12.5
1,274,Art and Symbolism,1,7
1,274,Art and Symbolism,1,1
1,274,Art and Symbolism,1,8
1,274,Art and Symbolism,1,3.5
1,274,Art and Symbolism,1,8
1,274,Art and Symbolism,1,12.5
1,274,Astronomy and Celestial Navigation,2,4.5
1,274,Astronomy and Celestial Navigation,2,11
1,274,Astronomy and Celestial Navigation,2,9.5
1,274,Environmental Stewardship,1,8
1,274,Environmental Stewardship,1,8.75
1,274,Environmental Stewardship,1,12.5
1,274,Environmental Stewardship,1,6
1,274,Environmental Stewardship,1,13
1,274,Herbalism and Medicine,2,14.5
1,274,Herbalism and Medicine,2,10
1,274,Herbalism and Medicine,2,13
1,274,Herbalism and Medicine,2,13.5
1,274,Hunting and Gathering Skills,2,10
1,274,Hunting and Gathering Skills,2,12.5
1,274,Hunting and Gathering Skills,2,10.5
1,274,Hunting and Gathering Skills,2,12.5
1,274,Hunting and Gathering Skills,2,3.5
1,274,Hunting and Gathering Skills,2,17.5
1,274,Hunting and Gathering Skills,2,10.5
1,274,Hunting and Gathering Skills,2,9
1,274,Hunting and Gathering Skills,2,15
1,274,Hunting and Gathering Skills,2,11
1,274,Language and Linguistics,2,11.5
1,274,Language and Linguistics,2,10
1,274,Language and Linguistics,2,9.75
1,274,Shamanism and Spiritual Practices,2,13.25
1,274,Shamanism and Spiritual Practices,2,12.5
1,274,Shamanism and Spiritual Practices,2,14.75
1,274,Shamanism and Spiritual Practices,2,14.75
1,274,Shamanism and Spiritual Practices,2,15
1,274,Shamanism and Spiritual Practices,2,11
1,274,Shamanism and Spiritual Practices,2,12.5
1,274,Social Organization and Governance,2,9.5
1,274,Social Organization and Governance,2,8.5
1,274,Social Organization and Governance,2,6.5
1,274,Social Organization and Governance,2,10.5
1,274,Tribal Lore and Traditions,2,9.5
1,274,Tribal Lore and Traditions,2,9
1,274,Tribal Lore and Traditions,2,11
1,274,Tribal Lore and Traditions,2,7
1,274,Tribal Lore and Traditions,2,9
1,274,Tribal Lore and Traditions,2,9
1,274,Tribal Lore and Traditions,2,10
1,274,Warfare and Diplomacy,2,9
1,274,Warfare and Diplomacy,2,15
1,274,Warfare and Diplomacy,2,7.5
1,274,Warfare and Diplomacy,2,5.5
1,274,Warfare and Diplomacy,2,6.5
1,274,Warfare and Diplomacy,2,5.5
1,274,Warfare and Diplomacy,2,10
1,274,Warfare and Diplomacy,2,6.5
1,288,Art and Symbolism,1,10.5
1,288,Art and Symbolism,1,12.5
1,288,Art and Symbolism,1,3.5
1,288,Art and Symbolism,1,9
1,288,Art and Symbolism,1,7
1,288,Art and Symbolism,1,4.5
1,288,Art and Symbolism,1,8
1,288,Art and Symbolism,1,9
1,288,Astronomy and Celestial Navigation,2,8
1,288,Astronomy and Celestial Navigation,2,11
1,288,Astronomy and Celestial Navigation,2,9
1,288,Astronomy and Celestial Navigation,2,9
1,288,Environmental Stewardship,1,13.75
1,288,Environmental Stewardship,1,8.75
1,288,Environmental Stewardship,1,8
1,288,Environmental Stewardship,1,9
1,288,Environmental Stewardship,1,11
1,288,Herbalism and Medicine,2,11.5
1,288,Herbalism and Medicine,2,13.5
1,288,Herbalism and Medicine,2,9.5
1,288,Herbalism and Medicine,2,13
1,288,Hunting and Gathering Skills,2,12
1,288,Hunting and Gathering Skills,2,7
1,288,Hunting and Gathering Skills,2,13
1,288,Hunting and Gathering Skills,2,16
1,288,Hunting and Gathering Skills,2,9
1,288,Hunting and Gathering Skills,2,9
1,288,Hunting and Gathering Skills,2,12
1,288,Hunting and Gathering Skills,2,10
1,288,Hunting and Gathering Skills,2,8.5
1,288,Hunting and Gathering Skills,2,14
1,288,Language and Linguistics,2,10
1,288,Language and Linguistics,2,9.5
1,288,Language and Linguistics,2,9.5
1,288,Shamanism and Spiritual Practices,2,14
1,288,Shamanism and Spiritual Practices,2,13.5
1,288,Shamanism and Spiritual Practices,2,15.5
1,288,Shamanism and Spiritual Practices,2,14.5
1,288,Shamanism and Spiritual Practices,2,12.75
1,288,Shamanism and Spiritual Practices,2,15.75
1,288,Shamanism and Spiritual Practices,2,15.75
1,288,Social Organization and Governance,2,11.5
1,288,Social Organization and Governance,2,7.5
1,288,Social Organization and Governance,2,7.5
1,288,Social Organization and Governance,2,10
1,288,Tribal Lore and Traditions,2,8.5
1,288,Tribal Lore and Traditions,2,11
1,288,Tribal Lore and Traditions,2,11.5
1,288,Tribal Lore and Traditions,2,10
1,288,Tribal Lore and Traditions,2,9.5
1,288,Tribal Lore and Traditions,2,9.5
1,288,Tribal Lore and Traditions,2,7.5
1,288,Warfare and Diplomacy,2,5.5
1,288,Warfare and Diplomacy,2,8.5
1,288,Warfare and Diplomacy,2,12
1,288,Warfare and Diplomacy,2,8
1,288,Warfare and Diplomacy,2,5.5
1,288,Warfare and Diplomacy,2,10.5
1,288,Warfare and Diplomacy,2,8
1,288,Warfare and Diplomacy,2,11
1,297,Art and Symbolism,1,10
1,297,Art and Symbolism,1,7
1,297,Art and Symbolism,1,9.5
1,297,Art and Symbolism,1,4.5
1,297,Art and Symbolism,1,7.5
1,297,Art and Symbolism,1,4.5
1,297,Art and Symbolism,1,5.5
1,297,Art and Symbolism,1,9.5
1,297,Astronomy and Celestial Navigation,2,6
1,297,Astronomy and Celestial Navigation,2,9
1,297,Astronomy and Celestial Navigation,2,7
1,297,Astronomy and Celestial Navigation,2,9
1,297,Environmental Stewardship,1,12.75
1,297,Environmental Stewardship,1,7
1,297,Environmental Stewardship,1,9.25
1,297,Environmental Stewardship,1,11
1,297,Environmental Stewardship,1,13
1,297,Herbalism and Medicine,2,13.5
1,297,Herbalism and Medicine,2,11
1,297,Herbalism and Medicine,2,11.5
1,297,Herbalism and Medicine,2,14
1,297,Hunting and Gathering Skills,2,9
1,297,Hunting and Gathering Skills,2,13
1,297,Hunting and Gathering Skills,2,12
1,297,Hunting and Gathering Skills,2,10.5
1,297,Hunting and Gathering Skills,2,4.5
1,297,Hunting and Gathering Skills,2,12.5
1,297,Hunting and Gathering Skills,2,7.5
1,297,Hunting and Gathering Skills,2,10
1,297,Hunting and Gathering Skills,2,7
1,297,Hunting and Gathering Skills,2,8
1,297,Language and Linguistics,2,11.5
1,297,Language and Linguistics,2,6.5
1,297,Language and Linguistics,2,8.75
1,297,Shamanism and Spiritual Practices,2,12.5
1,297,Shamanism and Spiritual Practices,2,12.75
1,297,Shamanism and Spiritual Practices,2,13
1,297,Shamanism and Spiritual Practices,2,15.75
1,297,Shamanism and Spiritual Practices,2,14
1,297,Shamanism and Spiritual Practices,2,12.75
1,297,Social Organization and Governance,2,7.5
1,297,Social Organization and Governance,2,15
1,297,Social Organization and Governance,2,11
1,297,Social Organization and Governance,2,9.5
1,297,Tribal Lore and Traditions,2,10
1,297,Tribal Lore and Traditions,2,9
1,297,Tribal Lore and Traditions,2,12
1,297,Tribal Lore and Traditions,2,6.5
1,297,Tribal Lore and Traditions,2,8
1,297,Tribal Lore and Traditions,2,10.5
1,297,Tribal Lore and Traditions,2,7
1,297,Warfare and Diplomacy,2,8.5
